==========
Args:Namespace(eval_step=-1, evaluate=False, gpu_devices='0', print_freq=10, resume='', save_dir='log', seed=1, start_epoch=0, start_eval=0, use_cpu=False)
==========
['/root/dataset/Market/bounding_box_train', '/root/dataset/Market/bounding_box_test', '/root/dataset/Market/query'],no problem
['/root/dataset/Market/bounding_box_train', '/root/dataset/Market/bounding_box_test', '/root/dataset/Market/query'],no problem
['/root/dataset/Market/bounding_box_train', '/root/dataset/Market/bounding_box_test', '/root/dataset/Market/query'],no problem
Initializing model: ResNet50
Model size: 25.04683M
==> Start training
Epoch: [1][201/404]	Time 0.146 (0.162)	Data 0.001 (0.003)	Loss 6.5600 (6.5850)	
Epoch: [1][202/404]	Time 0.121 (0.162)	Data 0.001 (0.003)	Loss 6.4132 (6.5841)	
Epoch: [1][203/404]	Time 0.114 (0.162)	Data 0.001 (0.003)	Loss 6.4420 (6.5834)	
Epoch: [1][204/404]	Time 0.118 (0.162)	Data 0.001 (0.003)	Loss 6.2941 (6.5820)	
Epoch: [1][205/404]	Time 0.122 (0.161)	Data 0.001 (0.003)	Loss 6.4374 (6.5813)	
Epoch: [1][206/404]	Time 0.121 (0.161)	Data 0.002 (0.003)	Loss 6.3347 (6.5801)	
Epoch: [1][207/404]	Time 0.121 (0.161)	Data 0.001 (0.003)	Loss 6.4592 (6.5795)	
Epoch: [1][208/404]	Time 0.128 (0.161)	Data 0.002 (0.003)	Loss 6.3601 (6.5785)	
Epoch: [1][209/404]	Time 0.121 (0.161)	Data 0.001 (0.003)	Loss 6.4194 (6.5777)	
Epoch: [1][210/404]	Time 0.121 (0.160)	Data 0.001 (0.003)	Loss 6.2817 (6.5763)	
Epoch: [1][211/404]	Time 0.118 (0.160)	Data 0.001 (0.003)	Loss 6.3487 (6.5752)	
Epoch: [1][212/404]	Time 0.119 (0.160)	Data 0.001 (0.003)	Loss 6.2674 (6.5738)	
Epoch: [1][213/404]	Time 0.151 (0.160)	Data 0.001 (0.003)	Loss 6.3694 (6.5728)	
Epoch: [1][214/404]	Time 0.113 (0.160)	Data 0.001 (0.003)	Loss 6.2890 (6.5715)	
Epoch: [1][215/404]	Time 0.122 (0.160)	Data 0.001 (0.003)	Loss 6.3194 (6.5703)	
Epoch: [1][216/404]	Time 0.116 (0.159)	Data 0.001 (0.003)	Loss 6.5687 (6.5703)	
Epoch: [1][217/404]	Time 0.116 (0.159)	Data 0.001 (0.003)	Loss 5.8091 (6.5668)	
Epoch: [1][218/404]	Time 0.112 (0.159)	Data 0.001 (0.003)	Loss 6.2928 (6.5655)	
Epoch: [1][219/404]	Time 0.123 (0.159)	Data 0.001 (0.003)	Loss 6.1559 (6.5637)	
Epoch: [1][220/404]	Time 0.122 (0.159)	Data 0.001 (0.003)	Loss 6.1875 (6.5620)	
Epoch: [1][221/404]	Time 0.121 (0.158)	Data 0.001 (0.003)	Loss 6.2057 (6.5603)	
Epoch: [1][222/404]	Time 0.120 (0.158)	Data 0.002 (0.003)	Loss 6.1734 (6.5586)	
Epoch: [1][223/404]	Time 0.114 (0.158)	Data 0.001 (0.003)	Loss 6.6371 (6.5590)	
Epoch: [1][224/404]	Time 0.119 (0.158)	Data 0.001 (0.003)	Loss 6.2811 (6.5577)	
Epoch: [1][225/404]	Time 0.151 (0.158)	Data 0.001 (0.003)	Loss 6.2605 (6.5564)	
Epoch: [1][226/404]	Time 0.124 (0.158)	Data 0.001 (0.003)	Loss 5.8817 (6.5534)	
Epoch: [1][227/404]	Time 0.110 (0.158)	Data 0.001 (0.003)	Loss 6.3224 (6.5524)	
Epoch: [1][228/404]	Time 0.111 (0.157)	Data 0.002 (0.003)	Loss 6.4492 (6.5519)	
Epoch: [1][229/404]	Time 0.109 (0.157)	Data 0.001 (0.003)	Loss 6.2816 (6.5508)	
